Genus	kingdom	phylum	class	order	family	full
Kushneria	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Gammaproteobacteria
Slackia	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Actinobacteria
Moorella	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Firmicutes
Soehngenia	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI	Firmicutes
Desulfatirhabdium	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Anaerosporobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Proteiniborus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_incertae_sedis	Firmicutes
Allokutzneria	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Actinobacteria
Vulgatibacter	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Vulgatibacteraceae	ZLow Abundance
Alkaliflexus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Bacteroidetes
Wenxinia	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Anaerovibrio	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Thermosipho	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	ZLow Abundance
Sebaldella	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	ZLow Abundance
Catenovulum	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria
Nafulsella	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Bacteroidetes
Chitinilyticum	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Pibocella	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Acidaminobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XII	Firmicutes
Peptostreptococcus	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Firmicutes
Snuella	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Clavibacter	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Actinobacteria
Alloprevotella	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Bacteroidetes
Rarobacter	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Rarobacteraceae	Actinobacteria
Acetatifactor	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Pyrinomonas	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unassigned	Unassigned	Acidobacteria
Ferrovum	Bacteria	Proteobacteria	Betaproteobacteria	Ferrovales	Ferrovaceae	Betaproteobacteria
Desulfuribacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_incertae_sedis	Firmicutes
Coprobacter	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Bacteroidetes
Anaerobacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Niveispirillum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Nibrella	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Bacteroidetes
Geopsychrobacter	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	ZLow Abundance
Acetanaerobacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Deinobacterium	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	ZLow Abundance
Parasporobacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Actinopolyspora	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinopolysporaceae	Actinobacteria
Pseudochelatococcus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Alphaproteobacteria
Dethiosulfatibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI	Firmicutes
Thiopseudomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Gammaproteobacteria
Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Gammaproteobacteria
Sulfobacillus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XVII	Firmicutes
Robiginitomaculum	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Alphaproteobacteria
Delftia	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Betaproteobacteria
Facklamia	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Firmicutes
Porphyromonas	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Bacteroidetes
Holdemania	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Firmicutes
Cellulosibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Methylogaea	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Gammaproteobacteria
Gallicola	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI	Firmicutes
Candidatus_Brocadia	Bacteria	Planctomycetes	Planctomycetia	Candidatus_Brocadiales	Candidatus_Brocadiaceae	Planctomycetes
Halotalea	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Gammaproteobacteria
Lentibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Hydrogenoanaerobacterium	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Rhodospirillum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Desulfotalea	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	ZLow Abundance
Ehrlichia	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Alphaproteobacteria
Chromatium	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Gammaproteobacteria
Conchiformibius	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Catenisphaera	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Firmicutes
Carboxydocella	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XVI	Firmicutes
Methylobacillus	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Betaproteobacteria
