,log2FC,log2CPM,PValue,FDR,level,otu,neglogp,tax
Labrenzia,3.386,14.802,1.68E-12,2.55E-11,Enriched,Labrenzia,11.77469072,Alphaproteobacteria
Pseudohalocynthiibacter,2.539,14.942,5.41E-05,0.000302952,Enriched,Pseudohalocynthiibacter,4.266802735,Alphaproteobacteria
Roseibium,3.667,14.135,9.51E-06,6.01E-05,Enriched,Roseibium,5.021819483,Alphaproteobacteria
Pseudovibrio,1.558,13.873,0.908139369,1,NotSig,Pseudovibrio,0.041847497,Alphaproteobacteria
Nioella,4.37,14.799,4.71E-05,0.000265684,Enriched,Nioella,4.326979093,Alphaproteobacteria
Maribius,1.591,13.824,0.891432121,1,NotSig,Maribius,0.049911721,Alphaproteobacteria
Tabrizicola,1.002,13.288,0.20660468,0.376532412,NotSig,Tabrizicola,0.684859845,Alphaproteobacteria
Oceanicola,17.892,13.136,2.79E-06,1.92E-05,Enriched,Oceanicola,5.554395797,Alphaproteobacteria
Stappia,18.645,15.376,0.000381926,0.001752439,Enriched,Stappia,3.418020776,Alphaproteobacteria
Rhodothalassium,-4.598,15.176,3.66E-11,4.74E-10,Depleted,Rhodothalassium,10.43651891,Alphaproteobacteria
Pelagimonas,4.025,11.966,0.003782858,0.013295908,Enriched,Pelagimonas,2.422179961,Alphaproteobacteria
Aestuariihabitans,1.099,13.824,0.072066052,0.171683232,NotSig,Aestuariihabitans,1.142269269,Alphaproteobacteria
Falsirhodobacter,1.634,14.943,0.17082251,0.334380963,NotSig,Falsirhodobacter,0.767454901,Alphaproteobacteria
Nesiotobacter,1.612,14.136,0.461503119,0.715831469,NotSig,Nesiotobacter,0.33582536,Alphaproteobacteria
Defluviimonas,-0.228,13.426,0.711895158,0.942369564,NotSig,Defluviimonas,0.147583961,Alphaproteobacteria
Cereibacter,13.287,10.965,0.250691578,0.435733108,NotSig,Cereibacter,0.600860256,Alphaproteobacteria
Rubellimicrobium,1.137,8.966,0.46006889,0.71517166,NotSig,Rubellimicrobium,0.337177133,Alphaproteobacteria
Pannonibacter,1.208,10.967,0.148880904,0.296722137,NotSig,Pannonibacter,0.827161003,Alphaproteobacteria
Roseivivax,1.777,13.053,0.000621915,0.002730684,Enriched,Roseivivax,3.206268968,Alphaproteobacteria
Oceanicella,-1.563,10.967,3.73E-05,0.000213806,Depleted,Oceanicella,4.428291168,Alphaproteobacteria
Thioclava,-16.975,11.288,1.95E-11,2.60E-10,Depleted,Thioclava,10.70996539,Alphaproteobacteria
Rubrimonas,3.469,15.073,0.606403112,0.830076578,NotSig,Rubrimonas,0.217238579,Alphaproteobacteria
Nereida,2.516,14.251,0.84113684,1,NotSig,Nereida,0.075133345,Alphaproteobacteria
Aliiroseovarius,-1.355,11.551,0.200658047,0.367215498,NotSig,Aliiroseovarius,0.697543419,Alphaproteobacteria
Roseisalinus,11.703,8.966,0.349472314,0.564270173,NotSig,Roseisalinus,0.456587224,Alphaproteobacteria
Wenxinia,13.288,9.965,0.136778113,0.277650696,NotSig,Wenxinia,0.863983392,Alphaproteobacteria
Roseomonas,-0.396,11.774,0.054441984,0.133946054,NotSig,Roseomonas,1.264066056,Alphaproteobacteria
Roseococcus,18.145,14.965,0.006959019,0.022620776,Enriched,Roseococcus,2.157451978,Alphaproteobacteria
Rhodopila,-13.472,8.966,0.008940467,0.028226155,Depleted,Rhodopila,2.048639795,Alphaproteobacteria
Acidiphilium,0.138,10.967,0.398304222,0.632235957,NotSig,Acidiphilium,0.39978509,Alphaproteobacteria
Stella,-0.699,10.966,0.914703666,1,NotSig,Stella,0.03871958,Alphaproteobacteria
Belnapia,2.815,11.966,0.601984758,0.828382112,NotSig,Belnapia,0.220414505,Alphaproteobacteria
Granulibacter,10.704,8.966,0.510345526,0.737855184,NotSig,Granulibacter,0.292135688,Alphaproteobacteria
Acidicaldus,14.702,12.134,0.10263708,0.227272591,NotSig,Acidicaldus,0.988695712,Alphaproteobacteria
Paracraurococcus,-7.114,12.774,1.15E-11,1.58E-10,Depleted,Paracraurococcus,10.93930216,Alphaproteobacteria
Craurococcus,0.4,11.551,0.176299946,0.339056634,NotSig,Craurococcus,0.753747821,Alphaproteobacteria
Saccharibacter,14.024,11.772,0.349472314,0.564270173,NotSig,Saccharibacter,0.456587224,Alphaproteobacteria
Thalassospira,6.366,18.99,1.10E-06,8.14E-06,Enriched,Thalassospira,5.958607315,Alphaproteobacteria
Caenispirillum,-1.839,14.136,0.7091221,0.941123673,NotSig,Caenispirillum,0.149278979,Alphaproteobacteria
Nisaea,-3.033,15.536,7.75E-43,8.50E-41,Depleted,Nisaea,42.1106983,Alphaproteobacteria
Oceanibaculum,-3.073,14.214,1.50E-18,3.97E-17,Depleted,Oceanibaculum,17.82390874,Alphaproteobacteria
Azospirillum,-2.973,15.01,3.15E-34,2.36E-32,Depleted,Azospirillum,33.50168945,Alphaproteobacteria
Skermanella,2.985,10.965,0.152490466,0.30223209,NotSig,Skermanella,0.816757308,Alphaproteobacteria
Thalassobaculum,-3.674,14.848,6.40E-48,8.31E-46,Depleted,Thalassobaculum,47.19382003,Alphaproteobacteria
Fodinicurvata,-2.003,15.075,1.81E-27,7.58E-26,Depleted,Fodinicurvata,26.74232143,Alphaproteobacteria
Rhodovibrio,20.468,14.798,2.57E-05,0.000150522,Enriched,Rhodovibrio,4.590066877,Alphaproteobacteria
Aestuariispira,3.544,13.721,2.83E-06,1.94E-05,Enriched,Aestuariispira,5.548213564,Alphaproteobacteria
Insolitispirillum,-4.234,13.551,5.87E-31,3.64E-29,Depleted,Insolitispirillum,30.2313619,Alphaproteobacteria
Dongia,1.137,10.965,0.921238993,1,NotSig,Dongia,0.035627688,Alphaproteobacteria
Novispirillum,-12.888,8.967,0.033095602,0.089833299,Depleted,Novispirillum,1.480229715,Alphaproteobacteria
Lacibacterium,-1.459,14.136,2.46E-10,2.95E-09,Depleted,Lacibacterium,9.609064893,Alphaproteobacteria
Pelagibius,0.441,15.707,1.19E-05,7.38E-05,Enriched,Pelagibius,4.924453039,Alphaproteobacteria
Phaeospirillum,5.199,15.786,0.02316805,0.066254122,Enriched,Phaeospirillum,1.635110518,Alphaproteobacteria
Telmatospirillum,-3.721,14.823,1.31E-19,3.53E-18,Depleted,Telmatospirillum,18.8827287,Alphaproteobacteria
Magnetospira,2.903,13.61,0.006139369,0.02004778,Enriched,Magnetospira,2.211876263,Alphaproteobacteria
Roseospira,16.811,13.666,0.001102568,0.00443235,Enriched,Roseospira,2.957594616,Alphaproteobacteria
Tistrella,0.507,17.572,0.207726689,0.37761272,NotSig,Tistrella,0.682507701,Alphaproteobacteria
Pararhodospirillum,3.421,13.773,0.00019718,0.000970262,Enriched,Pararhodospirillum,3.705137138,Alphaproteobacteria
Limimonas,1.623,12.136,0.522473896,0.751582912,NotSig,Limimonas,0.281935403,Alphaproteobacteria
Inquilinus,1.816,11.773,0.097298938,0.220389817,NotSig,Inquilinus,1.0118919,Alphaproteobacteria
Marispirillum,-0.699,13.054,0.000545732,0.002411019,Depleted,Marispirillum,3.26302058,Alphaproteobacteria
Tistlia,4.459,13.135,0.199405045,0.367215498,NotSig,Tistlia,0.700263858,Alphaproteobacteria
Defluviicoccus,-14.695,9.966,0.000205461,0.000997376,Depleted,Defluviicoccus,3.687270602,Alphaproteobacteria
Magnetospirillum,1.86,12.551,0.322081283,0.545855096,NotSig,Magnetospirillum,0.492034512,Alphaproteobacteria
Phaeovibrio,-4.059,12.287,0.00482183,0.016305098,Depleted,Phaeovibrio,2.316788105,Alphaproteobacteria
Rhodospirillum,13.873,9.965,0.058798327,0.143429818,NotSig,Rhodospirillum,1.230635031,Alphaproteobacteria
Reyranella,1.755,12.135,0.529388477,0.757710488,NotSig,Reyranella,0.276225516,Alphaproteobacteria
Anaplasma,12.703,10.551,0.349472314,0.564270173,NotSig,Anaplasma,0.456587224,Alphaproteobacteria
Ehrlichia,12.703,10.966,0.510345526,0.737855184,NotSig,Ehrlichia,0.292135688,Alphaproteobacteria
Rickettsia,0.322,17.341,0.000214193,0.001036114,Enriched,Rickettsia,3.669194726,Alphaproteobacteria
Orientia,10.704,8.966,0.510345526,0.737855184,NotSig,Orientia,0.292135688,Alphaproteobacteria
Ferrovibrio,5.635,13.136,0.02329033,0.066470601,Enriched,Ferrovibrio,1.632824358,Alphaproteobacteria
Sneathiella,0.96,14.425,0.880571063,1,NotSig,Sneathiella,0.05523559,Alphaproteobacteria
Oceanibacterium,-2.224,13.773,0.002156494,0.007993028,Depleted,Oceanibacterium,2.666251746,Alphaproteobacteria
Taonella,-15.472,10.551,5.04E-06,3.28E-05,Depleted,Taonella,5.297569464,Alphaproteobacteria
Erythrobacter,5.072,19.189,1.81E-20,5.49E-19,Enriched,Erythrobacter,19.74232143,Alphaproteobacteria
Altererythrobacter,3.46,17.175,5.42E-10,6.14E-09,Enriched,Altererythrobacter,9.266000713,Alphaproteobacteria
Erythromicrobium,5.43,16.242,0.033745089,0.091276796,Enriched,Erythromicrobium,1.471789422,Alphaproteobacteria
Croceicoccus,5.208,14.551,0.008084323,0.025808341,Enriched,Croceicoccus,2.092356343,Alphaproteobacteria
Blastomonas,2.186,18.305,0.718528209,0.950268539,NotSig,Blastomonas,0.143556177,Alphaproteobacteria
Sphingobium,1.606,17.506,0.159964484,0.31442055,NotSig,Sphingobium,0.795976431,Alphaproteobacteria
Rhizorhapis,3.612,13.872,0.089960671,0.205070091,NotSig,Rhizorhapis,1.045947314,Alphaproteobacteria
Sphingomonas,-0.169,16.707,0.123844885,0.265754362,NotSig,Sphingomonas,0.907121926,Alphaproteobacteria
Novosphingobium,0.649,14.746,0.174390356,0.337307516,NotSig,Novosphingobium,0.758477536,Alphaproteobacteria
Sphingopyxis,1.323,15.01,0.095729032,0.217178584,NotSig,Sphingopyxis,1.018956333,Alphaproteobacteria
Sphingorhabdus,4.559,17.687,2.87E-18,7.30E-17,Enriched,Sphingorhabdus,17.5421181,Alphaproteobacteria
Sphingomicrobium,0.031,15.873,5.60E-08,4.84E-07,Enriched,Sphingomicrobium,7.251811973,Alphaproteobacteria
Parasphingopyxis,4.665,14.824,8.25E-07,6.17E-06,Enriched,Parasphingopyxis,6.083546051,Alphaproteobacteria
Polymorphobacter,2.137,10.966,0.453834282,0.712454918,NotSig,Polymorphobacter,0.343102701,Alphaproteobacteria
Sandarakinorhabdus,-1.847,13.424,0.00099055,0.004038615,Depleted,Sandarakinorhabdus,3.004123598,Alphaproteobacteria
Zymomonas,-3.631,12.772,6.21E-18,1.54E-16,Depleted,Zymomonas,17.2069084,Alphaproteobacteria
Candidatus_Pelagibacter,-4.602,19.213,3.99E-53,8.12E-51,Depleted,Candidatus_Pelagibacter,52.3990271,Alphaproteobacteria
Marinifilum,-3.588,13.135,9.89E-32,6.41E-30,Depleted,Marinifilum,31.00480371,Bacteroidetes
Bacteroides,-0.467,15.094,0.012529973,0.038618298,Depleted,Bacteroides,1.902049865,Bacteroidetes
Anaerorhabdus,-1.185,8.967,0.394093245,0.626384071,NotSig,Anaerorhabdus,0.404401009,Bacteroidetes
Geofilum,-0.686,13.824,7.74E-10,8.60E-09,Depleted,Geofilum,9.111259039,Bacteroidetes
Saccharicrinis,0.183,14.323,0.013922134,0.042632802,Enriched,Saccharicrinis,1.85629419,Bacteroidetes
Mangroviflexus,-0.632,10.966,0.03545094,0.09380742,Depleted,Mangroviflexus,1.450372245,Bacteroidetes
Natronoflexus,0.986,12.288,0.52653706,0.755903807,NotSig,Natronoflexus,0.278571056,Bacteroidetes
Carboxylicivirga,13.025,10.966,0.349472314,0.564270173,NotSig,Carboxylicivirga,0.456587224,Bacteroidetes
Alkaliflexus,-4.643,12.551,3.94E-05,0.000224067,Depleted,Alkaliflexus,4.404503778,Bacteroidetes
Paludibacter,-2.102,10.966,0.00027971,0.001308677,Depleted,Paludibacter,3.553292007,Bacteroidetes
Parabacteroides,1.017,13.489,0.259488167,0.449926627,NotSig,Parabacteroides,0.585882442,Bacteroidetes
Macellibacteroides,-11.888,8.966,0.13295989,0.275375564,NotSig,Macellibacteroides,0.876279353,Bacteroidetes
Dysgonomonas,12.287,10.55,0.510345526,0.737855184,NotSig,Dysgonomonas,0.292135688,Bacteroidetes
Odoribacter,3.064,12.552,0.57573514,0.800754429,NotSig,Odoribacter,0.239777263,Bacteroidetes
Barnesiella,12.288,9.967,0.349472314,0.564270173,NotSig,Barnesiella,0.456587224,Bacteroidetes
Coprobacter,-1.184,8.966,0.552446388,0.775456691,NotSig,Coprobacter,0.257709862,Bacteroidetes
Prevotella,-1.481,13.824,0.002835609,0.010218216,Depleted,Prevotella,2.547353654,Bacteroidetes
Draconibacterium,-0.113,14.694,0.013979538,0.042716919,Depleted,Draconibacterium,1.854507181,Bacteroidetes
Mariniphaga,3.83,15.009,0.152492715,0.30223209,NotSig,Mariniphaga,0.816750903,Bacteroidetes
Prolixibacter,1.73,13.214,0.341694278,0.564270173,NotSig,Prolixibacter,0.466362294,Bacteroidetes
Tangfeifania,-1.394,11.287,0.000803532,0.003392428,Depleted,Tangfeifania,3.094996823,Bacteroidetes
Sunxiuqinia,4.964,16.053,0.582673866,0.808828411,NotSig,Sunxiuqinia,0.23457446,Bacteroidetes
Mangrovibacterium,0.096,12.773,0.29045673,0.495791572,NotSig,Mangrovibacterium,0.536918556,Bacteroidetes
Mucinivorans,-5.769,11.774,1.33E-14,2.56E-13,Depleted,Mucinivorans,13.87614836,Bacteroidetes
Alistipes,0.017,11.551,0.373248784,0.597114366,NotSig,Alistipes,0.428001598,Bacteroidetes
Anaerocella,-0.184,9.966,0.554829209,0.775456691,NotSig,Anaerocella,0.255840684,Bacteroidetes
Catalinimonas,3.986,12.287,0.067420168,0.162741183,NotSig,Catalinimonas,1.17121017,Bacteroidetes
Algoriphagus,0.173,15.195,1.17E-06,8.57E-06,Enriched,Algoriphagus,5.931814138,Bacteroidetes
Echinicola,5.529,13.824,1.03E-05,6.49E-05,Enriched,Echinicola,4.987162775,Bacteroidetes
Cecembia,0.903,11.551,0.121198957,0.26046824,NotSig,Cecembia,0.916501118,Bacteroidetes
Nitritalea,15.403,12.287,0.026133602,0.073270905,Enriched,Nitritalea,1.582800727,Bacteroidetes
Mongoliicoccus,10.704,8.966,0.510345526,0.737855184,NotSig,Mongoliicoccus,0.292135688,Bacteroidetes
Cyclobacterium,2.095,12.667,0.017414827,0.051665193,Enriched,Cyclobacterium,1.759080835,Bacteroidetes
Belliella,15.347,12.136,0.015353623,0.046091182,Enriched,Belliella,1.813789127,Bacteroidetes
Mariniradius,3.623,12.136,0.040537666,0.104985932,Enriched,Mariniradius,1.39214126,Bacteroidetes
Flectobacillus,3.243,17.323,0.794409956,1,NotSig,Flectobacillus,0.099955322,Bacteroidetes
Pseudarcicella,-1.935,12.425,0.005524071,0.018247336,Depleted,Pseudarcicella,2.257740748,Bacteroidetes
Pontibacter,0.781,14.825,0.052115352,0.130466556,NotSig,Pontibacter,1.283034325,Bacteroidetes
Adhaeribacter,5.242,14.551,1.23E-05,7.54E-05,Enriched,Adhaeribacter,4.910094889,Bacteroidetes
Dyadobacter,1.815,11.551,0.808741664,1,NotSig,Dyadobacter,0.092190183,Bacteroidetes
Ekhidna,4.237,15.01,1.63E-13,2.83E-12,Enriched,Ekhidna,12.7878124,Bacteroidetes
Emticicia,-1.6,11.288,0.125520064,0.268139419,NotSig,Emticicia,0.901286848,Bacteroidetes
Lacihabitans,1.037,11.286,0.3756125,0.600222886,NotSig,Lacihabitans,0.425259963,Bacteroidetes
Cytophaga,-4.354,11.288,0.004790696,0.016238299,Depleted,Cytophaga,2.319601387,Bacteroidetes
Siphonobacter,15.658,13.054,0.183929829,0.343544328,NotSig,Siphonobacter,0.735347833,Bacteroidetes
Hymenobacter,5.364,14.798,0.00477404,0.01622037,Enriched,Hymenobacter,2.321113947,Bacteroidetes
Persicitalea,2.515,10.965,0.344742802,0.564270173,NotSig,Persicitalea,0.462504793,Bacteroidetes
Fluviimonas,0.716,11.967,0.703266634,0.934414792,NotSig,Fluviimonas,0.152879987,Bacteroidetes
Runella,-0.014,11.551,0.036014414,0.094995506,Depleted,Runella,1.443523647,Bacteroidetes
Microscilla,16.769,13.359,0.058799189,0.143429818,NotSig,Microscilla,1.230628664,Bacteroidetes
Arcicella,-16.531,11.288,5.04E-06,3.28E-05,Depleted,Arcicella,5.297569464,Bacteroidetes
Rhodocytophaga,3.459,10.967,0.053173127,0.13173273,NotSig,Rhodocytophaga,1.274307799,Bacteroidetes
Rufibacter,13.51,11.288,0.250691578,0.435733108,NotSig,Rufibacter,0.600860256,Bacteroidetes
Nibribacter,12.288,8.966,0.250690725,0.435733108,NotSig,Nibribacter,0.600861734,Bacteroidetes
Marinoscillum,-2.343,14.637,5.92E-28,2.56E-26,Depleted,Marinoscillum,27.22767829,Bacteroidetes
Persicobacter,-2.925,15.27,3.28E-23,1.14E-21,Depleted,Persicobacter,22.48412616,Bacteroidetes
Roseivirga,2.431,16.639,2.96E-11,3.91E-10,Enriched,Roseivirga,10.52870829,Bacteroidetes
Fulvivirga,1.415,17.601,0.619579586,0.842038162,NotSig,Fulvivirga,0.2079029,Bacteroidetes
Flexithrix,5.466,14.175,0.00228521,0.008404626,Enriched,Flexithrix,2.641073884,Bacteroidetes
Reichenbachiella,1.183,15.442,0.345311761,0.564270173,NotSig,Reichenbachiella,0.46178863,Bacteroidetes
Marivirga,1.969,13.773,0.04956739,0.125190559,Enriched,Marivirga,1.304803949,Bacteroidetes
Fabibacter,1.034,14.01,0.388461751,0.619368625,NotSig,Fabibacter,0.410651737,Bacteroidetes
Aureibacter,2.161,12.425,0.136398198,0.277650696,NotSig,Aureibacter,0.865191367,Bacteroidetes
Imperialibacter,1.299,13.288,0.302714479,0.514867177,NotSig,Imperialibacter,0.518966806,Bacteroidetes
Thermonema,2.623,10.967,0.154340179,0.304203639,NotSig,Thermonema,0.811521,Bacteroidetes
Nafulsella,10.704,8.966,0.510345526,0.737855184,NotSig,Nafulsella,0.292135688,Bacteroidetes
Mooreia,1.072,12.873,0.963983508,1,NotSig,Mooreia,0.015930396,Bacteroidetes
Ohtaekwangia,12.288,8.966,0.250690725,0.435733108,NotSig,Ohtaekwangia,0.600861734,Bacteroidetes
Chryseolinea,2.448,13.136,0.360125742,0.578715579,NotSig,Chryseolinea,0.443545834,Bacteroidetes
Luteivirga,17.078,15.195,0.102634278,0.227272591,NotSig,Luteivirga,0.988707568,Bacteroidetes
Lishizhenia,-5.345,16.195,5.39E-33,3.67E-31,Depleted,Lishizhenia,32.26841123,Bacteroidetes
Salinirepens,-2.494,16.126,7.94E-18,1.92E-16,Depleted,Salinirepens,17.1001795,Bacteroidetes
Phaeocystidibacter,-6.414,17.279,2.86E-51,4.53E-49,Depleted,Phaeocystidibacter,50.54363397,Bacteroidetes
Fluviicola,-0.453,16.342,6.91E-17,1.56E-15,Depleted,Fluviicola,16.16052195,Bacteroidetes
Brumimicrobium,-0.427,14.096,2.34E-06,1.63E-05,Depleted,Brumimicrobium,5.630784143,Bacteroidetes
Owenweeksia,-1.523,14.458,3.55E-22,1.18E-20,Depleted,Owenweeksia,21.44977165,Bacteroidetes
Wandonia,1.237,16.165,0.183639475,0.343544328,NotSig,Wandonia,0.736033957,Bacteroidetes
Crocinitomix,0.705,15.908,0.035289826,0.09380742,Enriched,Crocinitomix,1.452350483,Bacteroidetes
Luteibaculum,6.566,16.653,0.004421911,0.015278614,Enriched,Luteibaculum,2.354390003,Bacteroidetes
Cryomorpha,13.288,10.966,0.250690725,0.435733108,NotSig,Cryomorpha,0.600861734,Bacteroidetes
Tenacibaculum,-1.106,19.074,1.05E-15,2.15E-14,Depleted,Tenacibaculum,14.9788107,Bacteroidetes
Psychroserpens,-0.882,16.054,2.32E-08,2.08E-07,Depleted,Psychroserpens,7.634512015,Bacteroidetes
Flavobacterium,-0.564,16.908,1.21E-05,7.48E-05,Depleted,Flavobacterium,4.91721463,Bacteroidetes
Flavimarina,-6.253,16.49,2.08E-30,1.10E-28,Depleted,Flavimarina,29.68193667,Bacteroidetes
Maribacter,-0.163,17.694,0.119112539,0.256757694,NotSig,Maribacter,0.924042518,Bacteroidetes
Gaetbulibacter,-1.837,14.989,2.45E-09,2.53E-08,Depleted,Gaetbulibacter,8.610833916,Bacteroidetes
Gelidibacter,-5.229,17.536,9.94E-61,3.54E-58,Depleted,Gelidibacter,60.00261362,Bacteroidetes
Aquimarina,-2.335,16.054,5.04E-30,2.57E-28,Depleted,Aquimarina,29.29756946,Bacteroidetes
Mesoflavibacter,0.496,17.766,0.087966078,0.202928044,NotSig,Mesoflavibacter,1.055684771,Bacteroidetes
Siansivirga,-5.037,16.043,2.96E-63,2.11E-60,Depleted,Siansivirga,62.52870829,Bacteroidetes
Aquibacter,-4.322,16.409,1.59E-61,7.54E-59,Depleted,Aquibacter,60.79860288,Bacteroidetes
Ulvibacter,-1.015,16.811,6.60E-10,7.42E-09,Depleted,Ulvibacter,9.180456064,Bacteroidetes
Subsaxibacter,-4.747,15.824,1.26E-63,1.80E-60,Depleted,Subsaxibacter,62.89962945,Bacteroidetes
Polaribacter,-2.723,16.297,4.78E-16,1.03E-14,Depleted,Polaribacter,15.3205721,Bacteroidetes
Winogradskyella,2.087,16.359,0.00053075,0.002352113,Enriched,Winogradskyella,3.275109997,Bacteroidetes
Muricauda,6.075,18.911,6.35E-13,1.03E-11,Enriched,Muricauda,12.19722627,Bacteroidetes
Dokdonia,6.014,16.721,5.09E-16,1.07E-14,Enriched,Dokdonia,15.29328222,Bacteroidetes
Croceitalea,8.239,17.367,1.81E-16,4.03E-15,Enriched,Croceitalea,15.74232143,Bacteroidetes
Kordia,-1.495,16.667,0.007845723,0.025215871,Depleted,Kordia,2.105367029,Bacteroidetes
Olleya,2.71,14.943,0.000131333,0.000671728,Enriched,Olleya,3.881626135,Bacteroidetes
Maritimimonas,0.942,17.315,0.102726574,0.227272591,NotSig,Maritimimonas,0.988317196,Bacteroidetes
Wenyingzhuangia,6.181,18.446,0.040000909,0.103973219,Enriched,Wenyingzhuangia,1.397930139,Bacteroidetes
Aureicoccus,20.714,16.259,9.79E-11,1.24E-09,Enriched,Aureicoccus,10.00921731,Bacteroidetes
Flaviramulus,-0.989,16.529,6.13E-06,3.97E-05,Depleted,Flaviramulus,5.212539525,Bacteroidetes
Gramella,1.749,15.624,0.034201923,0.091740871,Enriched,Gramella,1.465949475,Bacteroidetes
Zunongwangia,-3.036,14.799,9.57E-27,3.90E-25,Depleted,Zunongwangia,26.01908806,Bacteroidetes
Sabulilitoribacter,4.46,13.551,0.013633933,0.041840048,Enriched,Sabulilitoribacter,1.865378845,Bacteroidetes
Pricia,5.89,16.624,0.000979135,0.004003513,Enriched,Pricia,3.009157425,Bacteroidetes
Tamlana,-4.045,15.156,1.31E-26,5.20E-25,Depleted,Tamlana,25.8827287,Bacteroidetes
Leptobacterium,9.409,18.846,2.93E-07,2.35E-06,Enriched,Leptobacterium,6.53313238,Bacteroidetes
Gilvibacter,5.293,14.694,2.03E-16,4.45E-15,Enriched,Gilvibacter,15.69250396,Bacteroidetes
Gillisia,18.888,14.58,0.001435522,0.005612381,Enriched,Gillisia,2.842990147,Bacteroidetes
Gaetbulimicrobium,18.883,16.639,0.020021312,0.058502425,Enriched,Gaetbulimicrobium,1.698507467,Bacteroidetes
Flavicella,-5.798,15.653,4.26E-12,6.27E-11,Depleted,Flavicella,11.3705904,Bacteroidetes
Lutimonas,0.86,15.92,1,1,NotSig,Lutimonas,0,Bacteroidetes
Pseudofulvibacter,1.086,17.204,0.92965347,1,NotSig,Pseudofulvibacter,0.031678905,Bacteroidetes
Meridianimaribacter,2.804,14.58,8.55E-08,7.22E-07,Enriched,Meridianimaribacter,7.068033885,Bacteroidetes
Zobellia,8.469,17.096,3.83E-13,6.44E-12,Enriched,Zobellia,12.41680123,Bacteroidetes
Spongiivirga,0.698,16.666,0.001797159,0.006838789,Enriched,Spongiivirga,2.745413498,Bacteroidetes
Cellulophaga,-3.086,14.64,4.51E-28,2.01E-26,Depleted,Cellulophaga,27.34582346,Bacteroidetes
Cloacibacterium,-0.024,11.551,0.179673166,0.343544328,NotSig,Cloacibacterium,0.745516779,Bacteroidetes
Algibacter,-1.509,16.735,9.16E-35,7.26E-33,Depleted,Algibacter,34.03810453,Bacteroidetes
Aestuariibaculum,3.162,12.551,0.109770603,0.239514757,NotSig,Aestuariibaculum,0.95951395,Bacteroidetes
Flavivirga,-6.856,13.921,1.28E-50,1.83E-48,Depleted,Flavivirga,49.89279003,Bacteroidetes
Postechiella,5.788,14.251,6.30E-07,4.86E-06,Enriched,Postechiella,6.200659451,Bacteroidetes
Eudoraea,2.135,14.92,0.00468665,0.016043284,Enriched,Eudoraea,2.329137478,Bacteroidetes
Pseudozobellia,18.573,16.043,0.00084655,0.003491547,Enriched,Pseudozobellia,3.072347386,Bacteroidetes
Formosa,1.557,15.01,0.684792829,0.913270437,NotSig,Formosa,0.164440796,Bacteroidetes
Chishuiella,-3.269,15.666,4.41E-43,5.25E-41,Depleted,Chishuiella,42.35556141,Bacteroidetes
Spongiibacterium,7.786,14.823,5.20E-08,4.52E-07,Enriched,Spongiibacterium,7.283996656,Bacteroidetes
Corallibacter,-1.246,13.92,9.42E-08,7.86E-07,Depleted,Corallibacter,7.025949097,Bacteroidetes
Namhaeicola,1.379,16.458,0.011760314,0.036403401,Enriched,Namhaeicola,1.929581082,Bacteroidetes
Nonlabens,3.441,15.425,0.004551345,0.015650045,Enriched,Nonlabens,2.341860243,Bacteroidetes
Fulvibacter,-0.324,14.849,3.18E-13,5.40E-12,Depleted,Fulvibacter,12.49757288,Bacteroidetes
Arenibacter,4.698,15.156,8.06E-06,5.13E-05,Enriched,Arenibacter,5.093664958,Bacteroidetes
Myroides,13.025,9.967,0.250691578,0.435733108,NotSig,Myroides,0.600860256,Bacteroidetes
Robiginitalea,0.518,14.288,0.759867742,0.995712826,NotSig,Robiginitalea,0.119261992,Bacteroidetes
Sinomicrobium,5.527,16.195,0.000479806,0.002146341,Enriched,Sinomicrobium,3.318934325,Bacteroidetes
Lutibacter,1.684,16.269,0.814814909,1,NotSig,Lutibacter,0.088941033,Bacteroidetes
Chryseobacterium,-0.022,16.306,0.422270408,0.665834113,NotSig,Chryseobacterium,0.374409352,Bacteroidetes
Riemerella,1.615,15.812,0.523662647,0.752534338,NotSig,Riemerella,0.280948403,Bacteroidetes
Marixanthomonas,4.577,15.773,6.07E-12,8.66E-11,Enriched,Marixanthomonas,11.21681131,Bacteroidetes
Joostella,-4.467,14.214,4.10E-09,4.09E-08,Depleted,Joostella,8.387216143,Bacteroidetes
Geojedonia,-1.769,14.773,0.886321779,1,NotSig,Geojedonia,0.052408579,Bacteroidetes
Flagellimonas,5.025,12.136,0.000333811,0.001546588,Enriched,Flagellimonas,3.476499356,Bacteroidetes
Aequorivita,-0.623,17.242,7.77E-10,8.60E-09,Depleted,Aequorivita,9.109578981,Bacteroidetes
Spongiimonas,-1.623,14.58,7.64E-15,1.49E-13,Depleted,Spongiimonas,14.11690664,Bacteroidetes
Kriegella,-0.009,13.92,0.04651761,0.118325544,Depleted,Kriegella,1.332382607,Bacteroidetes
Actibacter,2.869,14.943,0.141426266,0.285049833,NotSig,Actibacter,0.849469925,Bacteroidetes
Elizabethkingia,-1.042,12.425,0.609030485,0.831661725,NotSig,Elizabethkingia,0.215360968,Bacteroidetes
Hanstruepera,10.704,8.966,0.510345526,0.737855184,NotSig,Hanstruepera,0.292135688,Bacteroidetes
Mesonia,-1.464,14.694,8.38E-05,0.000442982,Depleted,Mesonia,4.076755981,Bacteroidetes
Croceibacter,3.506,16.693,0.19432299,0.360596757,NotSig,Croceibacter,0.711475816,Bacteroidetes
