,log2FC,log2CPM,PValue,FDR,level,otu,neglogp,tax
Nioella,17.025,11.288,5.69E-05,0.000485943,Enriched,Nioella,4.244887734,Alphaproteobacteria
Maribius,7.462,14.58,0.000111026,0.000856403,Enriched,Maribius,3.954575306,Alphaproteobacteria
Tabrizicola,-1.15,12.136,0.316216558,0.511901182,NotSig,Tabrizicola,0.500015393,Alphaproteobacteria
Oceanicola,0.575,12.551,0.384599178,0.583854285,NotSig,Oceanicola,0.414991648,Alphaproteobacteria
Stappia,15.932,12.425,0.028382515,0.07941539,Enriched,Stappia,1.546949124,Alphaproteobacteria
Rhodothalassium,-16.472,10.966,0.001200739,0.006141417,Depleted,Rhodothalassium,2.920551383,Alphaproteobacteria
Pelagimonas,15.195,11.773,0.058282897,0.143892204,NotSig,Pelagimonas,1.234458869,Alphaproteobacteria
Falsirhodobacter,1.101,9.966,0.235947441,0.429460456,NotSig,Falsirhodobacter,0.627184728,Alphaproteobacteria
Cereibacter,1.691,12.288,0.000987825,0.005279498,Enriched,Cereibacter,3.005319987,Alphaproteobacteria
Rubellimicrobium,2.828,14.458,0.000405551,0.00256272,Enriched,Rubellimicrobium,3.391954523,Alphaproteobacteria
Roseivivax,-11.772,8.966,0.36365456,0.559266615,NotSig,Roseivivax,0.439310962,Alphaproteobacteria
Thioclava,-15.093,10.55,0.023681069,0.070109722,Depleted,Thioclava,1.625598697,Alphaproteobacteria
Profundibacterium,-0.069,10.551,0.98444281,1,NotSig,Profundibacterium,0.006809509,Alphaproteobacteria
Wenxinia,-12.772,8.966,0.19616248,0.368320868,NotSig,Wenxinia,0.707384057,Alphaproteobacteria
Lentibacter,-15.772,11.551,0.065946349,0.155033674,NotSig,Lentibacter,1.180809243,Alphaproteobacteria
Roseomonas,-0.327,14.214,0.058905782,0.145178844,NotSig,Roseomonas,1.229842074,Alphaproteobacteria
Humitalea,-9.289,15.552,0.01238273,0.042993078,Depleted,Humitalea,1.907183597,Alphaproteobacteria
Acidisoma,-1.707,11.967,0.021381501,0.0646428,Depleted,Acidisoma,1.66996181,Alphaproteobacteria
Roseococcus,-1.949,11.773,0.359870607,0.559266615,NotSig,Roseococcus,0.443853624,Alphaproteobacteria
Rhodopila,2.686,12.288,0.336517185,0.537162737,NotSig,Rhodopila,0.472992753,Alphaproteobacteria
Acidiphilium,1.253,12.136,0.00179316,0.008526194,Enriched,Acidiphilium,2.746380958,Alphaproteobacteria
Stella,-1.612,12.666,0.334345597,0.535035348,NotSig,Stella,0.475804392,Alphaproteobacteria
Belnapia,0.941,12.136,0.043928069,0.116083988,Enriched,Belnapia,1.357257887,Alphaproteobacteria
Granulibacter,-3.654,10.551,0.008012351,0.0300353,Depleted,Granulibacter,2.096240034,Alphaproteobacteria
Rubritepida,2.285,12.773,0.333660194,0.535035348,NotSig,Rubritepida,0.476695602,Alphaproteobacteria
Acidicaldus,0.649,11.288,0.400591423,0.603636707,NotSig,Acidicaldus,0.397298354,Alphaproteobacteria
Craurococcus,-0.956,11.288,0.028621685,0.079927874,Depleted,Craurococcus,1.543304802,Alphaproteobacteria
Komagataeibacter,6.953,14.551,0.01525646,0.048923525,Enriched,Komagataeibacter,1.816546225,Alphaproteobacteria
Neoasaia,-3.791,10.966,0.003420719,0.015019586,Depleted,Neoasaia,2.4658826,Alphaproteobacteria
Saccharibacter,-11.772,8.966,0.36365456,0.559266615,NotSig,Saccharibacter,0.439310962,Alphaproteobacteria
Gluconacetobacter,15.725,11.773,0.058282897,0.143892204,NotSig,Gluconacetobacter,1.234458869,Alphaproteobacteria
Thalassospira,1.668,10.549,0.320740278,0.517756082,NotSig,Thalassospira,0.493846499,Alphaproteobacteria
Caenispirillum,0.445,11.966,0.616093735,0.86024047,NotSig,Caenispirillum,0.210353207,Alphaproteobacteria
Nisaea,-5.712,12.773,0.000172108,0.001246692,Depleted,Nisaea,3.764198942,Alphaproteobacteria
Oceanibaculum,-5.975,12.135,0.000378407,0.00243237,Depleted,Oceanibaculum,3.422040838,Alphaproteobacteria
Azospirillum,2.62,16.043,0.840980732,1,NotSig,Azospirillum,0.075213954,Alphaproteobacteria
Skermanella,1.559,12.136,0.063758559,0.152401113,NotSig,Skermanella,1.195461507,Alphaproteobacteria
Thalassobaculum,-3.956,11.551,0.001857718,0.008778024,Depleted,Thalassobaculum,2.731020211,Alphaproteobacteria
Fodinicurvata,-1.053,11.288,0.358659879,0.559266615,NotSig,Fodinicurvata,0.445317202,Alphaproteobacteria
Magnetovibrio,-4.554,11.773,0.007702979,0.029302056,Depleted,Magnetovibrio,2.113341286,Alphaproteobacteria
Insolitispirillum,-18.371,12.772,5.97E-05,0.000504279,Depleted,Insolitispirillum,4.224025669,Alphaproteobacteria
Dongia,0.253,11.966,0.235778196,0.429460456,NotSig,Dongia,0.62749636,Alphaproteobacteria
Novispirillum,0.254,11.774,0.289315219,0.475089549,NotSig,Novispirillum,0.53862872,Alphaproteobacteria
Lacibacterium,0.506,11.966,0.104747457,0.23428624,NotSig,Lacibacterium,0.979856512,Alphaproteobacteria
Pelagibius,-1.173,11.288,0.088007655,0.201584148,NotSig,Pelagibius,1.055479551,Alphaproteobacteria
Phaeospirillum,15.025,9.966,0.007007909,0.027399138,Enriched,Phaeospirillum,2.154411546,Alphaproteobacteria
Telmatospirillum,-11.771,8.965,0.36365456,0.559266615,NotSig,Telmatospirillum,0.439310962,Alphaproteobacteria
Rhodocista,-15.094,10.966,0.039336779,0.105518922,Depleted,Rhodocista,1.405201204,Alphaproteobacteria
Tistrella,1.254,8.967,0.460001777,0.678122454,NotSig,Tistrella,0.337240491,Alphaproteobacteria
Pararhodospirillum,12.025,8.966,0.278364334,0.460818914,NotSig,Pararhodospirillum,0.55538641,Alphaproteobacteria
Limimonas,-6.148,14.458,0.005314756,0.021607283,Depleted,Limimonas,2.274516669,Alphaproteobacteria
Inquilinus,-0.748,9.965,0.622462689,0.868283731,NotSig,Inquilinus,0.205886675,Alphaproteobacteria
Marispirillum,2.575,9.965,0.118331262,0.253841383,NotSig,Marispirillum,0.926900504,Alphaproteobacteria
Tistlia,13.025,8.967,0.123234059,0.253841383,NotSig,Tistlia,0.909269247,Alphaproteobacteria
Defluviicoccus,-5.3,12.287,0.00041467,0.002606756,Depleted,Defluviicoccus,3.382297383,Alphaproteobacteria
Magnetospirillum,2.253,11.288,0.513355592,0.735500431,NotSig,Magnetospirillum,0.289581703,Alphaproteobacteria
Desertibacter,-16.679,10.551,3.59E-05,0.000324533,Depleted,Desertibacter,4.444905551,Alphaproteobacteria
Reyranella,-0.816,14.392,0.023261017,0.069587989,Depleted,Reyranella,1.633371301,Alphaproteobacteria
Anaplasma,14.347,9.966,0.028380191,0.07941539,Enriched,Anaplasma,1.546984686,Alphaproteobacteria
Rickettsia,-0.759,14.799,1.90E-05,0.000183492,Depleted,Rickettsia,4.721246399,Alphaproteobacteria
Orientia,0.252,8.967,0.871911898,1,NotSig,Orientia,0.059527396,Alphaproteobacteria
Ferrovibrio,-14.094,8.967,0.039338519,0.105518922,Depleted,Ferrovibrio,1.405181994,Alphaproteobacteria
Sneathiella,15.61,10.966,0.007008189,0.027399138,Enriched,Sneathiella,2.154394194,Alphaproteobacteria
Oceanibacterium,1.837,9.966,0.46539294,0.681144333,NotSig,Oceanibacterium,0.332180209,Alphaproteobacteria
Taonella,13.61,8.966,0.058281671,0.143892204,NotSig,Taonella,1.234468005,Alphaproteobacteria
Erythrobacter,6.113,17.505,6.23E-14,2.87E-12,Enriched,Erythrobacter,13.20551195,Alphaproteobacteria
Altererythrobacter,3.599,16.694,1.18E-06,1.64E-05,Enriched,Altererythrobacter,5.928117993,Alphaproteobacteria
Erythromicrobium,2.127,16.315,2.99E-11,9.48E-10,Enriched,Erythromicrobium,10.52432881,Alphaproteobacteria
Croceicoccus,5.539,14.176,5.53E-06,6.07E-05,Enriched,Croceicoccus,5.257274869,Alphaproteobacteria
Porphyrobacter,5.645,14.214,0.119141916,0.253841383,NotSig,Porphyrobacter,0.92393542,Alphaproteobacteria
Blastomonas,3.797,14.773,4.62E-15,2.20E-13,Enriched,Blastomonas,14.33535802,Alphaproteobacteria
Sphingobium,2.467,14.666,0.017617663,0.055132469,Enriched,Sphingobium,1.754051702,Alphaproteobacteria
Rhizorhapis,6.044,18.069,0.08144481,0.188671662,NotSig,Rhizorhapis,1.089136586,Alphaproteobacteria
Sphingomonas,1.659,17.504,4.10E-08,7.31E-07,Enriched,Sphingomonas,7.387216143,Alphaproteobacteria
Novosphingobium,0.489,15.908,0.025149877,0.073845421,Enriched,Novosphingobium,1.599464135,Alphaproteobacteria
Sphingopyxis,1.1,15.72,0.999347192,1,NotSig,Sphingopyxis,0.000283603,Alphaproteobacteria
Sphingorhabdus,0.642,17.065,0.961694135,1,NotSig,Sphingorhabdus,0.016963033,Alphaproteobacteria
Sphingomicrobium,4.932,15.342,0.050809362,0.131587947,NotSig,Sphingomicrobium,1.294056258,Alphaproteobacteria
Parasphingopyxis,15.025,10.551,0.014039883,0.04574273,Enriched,Parasphingopyxis,1.852636511,Alphaproteobacteria
Sandaracinobacter,5.33,13.824,2.18E-06,2.85E-05,Enriched,Sandaracinobacter,5.661543506,Alphaproteobacteria
Polymorphobacter,2.225,15.232,0.114015159,0.249539312,NotSig,Polymorphobacter,0.943037403,Alphaproteobacteria
Sandarakinorhabdus,-0.042,14.694,0.409496122,0.615754442,NotSig,Sandarakinorhabdus,0.387750207,Alphaproteobacteria
Candidatus_Pelagibacter,-6.76,15.305,5.00E-07,7.43E-06,Depleted,Candidatus_Pelagibacter,6.301029996,Alphaproteobacteria
Marinifilum,-11.771,8.964,0.36365456,0.559266615,NotSig,Marinifilum,0.439310962,Bacteroidetes
Bacteroides,1.517,17.25,0.029031319,0.080913461,Enriched,Bacteroides,1.537133232,Bacteroidetes
Anaerorhabdus,1.446,10.551,0.155464253,0.307694159,NotSig,Anaerorhabdus,0.808369456,Bacteroidetes
Geofilum,1.238,13.773,0.015025635,0.04840086,Enriched,Geofilum,1.823167165,Bacteroidetes
Saccharicrinis,1.044,12.966,0.394082279,0.595715479,NotSig,Saccharicrinis,0.404413094,Bacteroidetes
Mangroviflexus,0.105,14.988,0.064741603,0.153911554,NotSig,Mangroviflexus,1.188816552,Bacteroidetes
Natronoflexus,-1.747,10.551,0.210217784,0.393675561,NotSig,Natronoflexus,0.677330546,Bacteroidetes
Carboxylicivirga,1.078,11.773,0.007159491,0.027762482,Enriched,Carboxylicivirga,2.145117853,Bacteroidetes
Marinilabilia,14.831,11.772,0.278364334,0.460818914,NotSig,Marinilabilia,0.55538641,Bacteroidetes
Acetobacteroides,4.953,13.053,0.010647267,0.037795151,Enriched,Acetobacteroides,1.972761855,Bacteroidetes
Paludibacter,0.87,14.58,0.225189597,0.41625072,NotSig,Paludibacter,0.647451676,Bacteroidetes
Parabacteroides,1.475,13.72,0.470615033,0.683474752,NotSig,Parabacteroides,0.327334204,Bacteroidetes
Macellibacteroides,15.025,10.966,0.028381934,0.07941539,Enriched,Macellibacteroides,1.546958014,Bacteroidetes
Dysgonomonas,2.675,15.489,0.017393651,0.054551078,Enriched,Dysgonomonas,1.759609248,Bacteroidetes
Barnesiella,-0.669,14.458,0.042119384,0.111718143,Depleted,Barnesiella,1.375517989,Bacteroidetes
Porphyromonas,12.025,8.966,0.278364334,0.460818914,NotSig,Porphyromonas,0.55538641,Bacteroidetes
Prevotella,4.27,17.466,0.00245588,0.011020569,Enriched,Prevotella,2.609792858,Bacteroidetes
Paraprevotella,-17.232,13.921,0.19616248,0.368320868,NotSig,Paraprevotella,0.707384057,Bacteroidetes
Alloprevotella,0.252,11.551,0.241664748,0.43652607,NotSig,Alloprevotella,0.616786696,Bacteroidetes
Draconibacterium,-4.317,14.25,7.05E-07,1.02E-05,Depleted,Draconibacterium,6.151810883,Bacteroidetes
Mariniphaga,1.401,15.175,0.005656189,0.022800512,Enriched,Mariniphaga,2.247476087,Bacteroidetes
Prolixibacter,-0.177,13.288,0.09168038,0.207993485,NotSig,Prolixibacter,1.037723595,Bacteroidetes
Tangfeifania,-1.86,12.874,0.000100834,0.000790602,Depleted,Tangfeifania,3.996393004,Bacteroidetes
Sunxiuqinia,-0.698,13.72,0.035421726,0.09683227,Depleted,Sunxiuqinia,1.450730281,Bacteroidetes
Mangrovibacterium,3.575,10.551,0.060324134,0.146655972,NotSig,Mangrovibacterium,1.219508904,Bacteroidetes
Mucinivorans,-13.357,9.966,0.19616248,0.368320868,NotSig,Mucinivorans,0.707384057,Bacteroidetes
Alistipes,0.667,11.286,0.925786238,1,NotSig,Alistipes,0.033489279,Bacteroidetes
Catalinimonas,18.234,12.666,7.05E-06,7.39E-05,Enriched,Catalinimonas,5.151810883,Bacteroidetes
Algoriphagus,-3.469,16.921,1.26E-23,1.28E-21,Depleted,Algoriphagus,22.89962945,Bacteroidetes
Echinicola,3.423,11.966,0.462690798,0.679979164,NotSig,Echinicola,0.334709138,Bacteroidetes
Cecembia,3.204,14.799,0.042905027,0.113590861,Enriched,Cecembia,1.36749182,Bacteroidetes
Nitritalea,4.34,10.551,0.001040699,0.005476314,Enriched,Nitritalea,2.982674863,Bacteroidetes
Mongoliicoccus,2.574,12.55,0.060263392,0.146655972,NotSig,Mongoliicoccus,1.219946427,Bacteroidetes
Cyclobacterium,-0.746,9.966,0.909576751,1,NotSig,Cyclobacterium,0.041160649,Bacteroidetes
Mariniradius,2.628,13.721,0.008400577,0.031056018,Enriched,Mariniradius,2.075690883,Bacteroidetes
Lunatimonas,15.832,12.425,0.058282897,0.143892204,NotSig,Lunatimonas,1.234458869,Bacteroidetes
Flectobacillus,-1.799,17.616,0.538585776,0.763249035,NotSig,Flectobacillus,0.26874512,Bacteroidetes
Pseudarcicella,-6.671,17.617,1.49E-27,2.66E-25,Depleted,Pseudarcicella,26.82681373,Bacteroidetes
Pontibacter,6.692,17.297,1.05E-09,2.45E-08,Enriched,Pontibacter,8.978810701,Bacteroidetes
Adhaeribacter,7.027,14.666,9.60E-09,1.90E-07,Enriched,Adhaeribacter,8.017728767,Bacteroidetes
Dyadobacter,-0.393,11.288,0.901452671,1,NotSig,Dyadobacter,0.04505707,Bacteroidetes
Ekhidna,13.025,8.966,0.123231328,0.253841383,NotSig,Ekhidna,0.909278871,Bacteroidetes
Emticicia,-0.519,14.873,0.019789539,0.06051832,Depleted,Emticicia,1.703564323,Bacteroidetes
Lacihabitans,0.292,12.966,0.711624549,0.97083005,NotSig,Lacihabitans,0.147749078,Bacteroidetes
Cytophaga,1.155,13.966,0.0181333,0.056375204,Enriched,Cytophaga,1.741523153,Bacteroidetes
Siphonobacter,1.04,16.341,1.76E-05,0.000171787,Enriched,Siphonobacter,4.754487332,Bacteroidetes
Hymenobacter,6.862,15.44,6.56E-11,1.95E-09,Enriched,Hymenobacter,10.18309616,Bacteroidetes
Persicitalea,14.025,8.967,0.028381934,0.07941539,Enriched,Persicitalea,1.546958014,Bacteroidetes
Fluviimonas,1.694,15.075,0.441867482,0.660205929,NotSig,Fluviimonas,0.354707958,Bacteroidetes
Runella,-0.597,13.136,0.373944285,0.571326011,NotSig,Runella,0.4271931,Bacteroidetes
Microscilla,19.102,15.053,0.000891073,0.004834831,Enriched,Microscilla,3.050086715,Bacteroidetes
Arcicella,-14.941,11.288,0.19616248,0.368320868,NotSig,Arcicella,0.707384057,Bacteroidetes
Rhodocytophaga,13.61,10.551,0.278364334,0.460818914,NotSig,Rhodocytophaga,0.55538641,Bacteroidetes
Rufibacter,17.272,13.551,0.003516172,0.015168496,Enriched,Rufibacter,2.453929889,Bacteroidetes
Nibribacter,-0.747,8.967,0.45834058,0.678122454,NotSig,Nibribacter,0.33881169,Bacteroidetes
Marinoscillum,-5.502,17.944,6.16E-25,6.76E-23,Depleted,Marinoscillum,24.21041929,Bacteroidetes
Persicobacter,1.954,11.288,0.336903048,0.537162737,NotSig,Persicobacter,0.47249506,Bacteroidetes
Roseivirga,-0.978,13.966,0.342597016,0.544416416,NotSig,Roseivirga,0.465216424,Bacteroidetes
Fulvivirga,1.575,12.288,0.223883445,0.414592941,NotSig,Fulvivirga,0.649978019,Bacteroidetes
Reichenbachiella,-1.701,11.287,0.014033001,0.04574273,Depleted,Reichenbachiella,1.852849444,Bacteroidetes
Marivirga,0.533,10.966,0.837662516,1,NotSig,Marivirga,0.076930918,Bacteroidetes
Fabibacter,-0.484,9.965,0.870166232,1,NotSig,Fabibacter,0.060397774,Bacteroidetes
Aureibacter,-2.692,12.775,0.002033042,0.00932846,Depleted,Aureibacter,2.691853649,Bacteroidetes
Imperialibacter,-1.206,11.288,0.04102639,0.109225109,Depleted,Imperialibacter,1.386936696,Bacteroidetes
Cesiribacter,-15.772,10.551,0.001968959,0.009098811,Depleted,Cesiribacter,2.705763327,Bacteroidetes
Mooreia,16.832,11.773,0.001769111,0.008471719,Enriched,Mooreia,2.752244917,Bacteroidetes
Ohtaekwangia,2.099,15.652,0.079490583,0.184444003,NotSig,Ohtaekwangia,1.099684318,Bacteroidetes
Chryseolinea,2.565,16.136,0.829189452,1,NotSig,Chryseolinea,0.081346231,Bacteroidetes
Lishizhenia,1.219,14.251,0.139164352,0.279700747,NotSig,Lishizhenia,0.856471998,Bacteroidetes
Salinirepens,-5.907,16.528,8.30E-33,2.96E-30,Depleted,Salinirepens,32.08092191,Bacteroidetes
Phaeocystidibacter,-6.024,14.943,5.29E-16,2.60E-14,Depleted,Phaeocystidibacter,15.27654433,Bacteroidetes
Fluviicola,-3.836,16.085,7.91E-33,2.96E-30,Depleted,Fluviicola,32.10182352,Bacteroidetes
Brumimicrobium,-2.325,13.053,4.30E-06,4.91E-05,Depleted,Brumimicrobium,5.366531544,Bacteroidetes
Owenweeksia,-5.361,11.551,4.99E-05,0.000439901,Depleted,Owenweeksia,4.301899454,Bacteroidetes
Wandonia,-2.633,17.306,0.543063952,0.767279464,NotSig,Wandonia,0.265149024,Bacteroidetes
Crocinitomix,-1.863,13.135,3.22E-09,6.69E-08,Depleted,Crocinitomix,8.492144128,Bacteroidetes
Tenacibaculum,3.349,14.665,0.002355056,0.010601466,Enriched,Tenacibaculum,2.627998761,Bacteroidetes
Psychroserpens,-0.162,11.551,0.222443796,0.412779319,NotSig,Psychroserpens,0.652779702,Bacteroidetes
Flavobacterium,-1.785,18.969,5.46E-11,1.66E-09,Depleted,Flavobacterium,10.26280736,Bacteroidetes
Flavimarina,1.575,9.965,0.123274056,0.253841383,NotSig,Flavimarina,0.909128314,Bacteroidetes
Maribacter,-3.843,13.358,8.61E-05,0.000694243,Depleted,Maribacter,4.064996849,Bacteroidetes
Gaetbulibacter,2.915,11.773,0.064821895,0.153911554,NotSig,Gaetbulibacter,1.188278277,Bacteroidetes
Gelidibacter,-3.455,13.965,0.023652208,0.070109722,Depleted,Gelidibacter,1.62612831,Bacteroidetes
Aquimarina,-3.472,13.666,0.025410071,0.074456203,Depleted,Aquimarina,1.594994121,Bacteroidetes
Mesoflavibacter,4.896,12.873,0.008335865,0.031003509,Enriched,Mesoflavibacter,2.079049327,Bacteroidetes
Siansivirga,-3.604,11.287,0.057995157,0.143892204,NotSig,Siansivirga,1.236608272,Bacteroidetes
Aquibacter,-5.659,15.61,0.010844062,0.038398206,Depleted,Aquibacter,1.964808008,Bacteroidetes
Ulvibacter,16.112,11.551,0.001769076,0.008471719,Enriched,Ulvibacter,2.752253509,Bacteroidetes
Subsaxibacter,-5.447,11.966,0.000644774,0.00372507,Depleted,Subsaxibacter,3.190592483,Bacteroidetes
Polaribacter,1.838,11.288,0.536086796,0.761189908,NotSig,Polaribacter,0.270764889,Bacteroidetes
Winogradskyella,1.668,11.773,0.807037011,1,NotSig,Winogradskyella,0.093106548,Bacteroidetes
Muricauda,15.194,9.966,0.014039034,0.04574273,Enriched,Muricauda,1.852662774,Bacteroidetes
Kordia,-14.941,9.966,0.023680036,0.070109722,Depleted,Kordia,1.625617642,Bacteroidetes
Olleya,2.06,9.966,0.287562273,0.473846839,NotSig,Olleya,0.541268092,Bacteroidetes
Maritimimonas,-0.747,8.966,0.539504545,0.763249035,NotSig,Maritimimonas,0.268004892,Bacteroidetes
Flaviramulus,-12.772,8.967,0.19616248,0.368320868,NotSig,Flaviramulus,0.707384057,Bacteroidetes
Gramella,6.301,17.368,0.000793041,0.004473002,Enriched,Gramella,3.100704359,Bacteroidetes
Zunongwangia,4.526,12.965,0.009434659,0.034170706,Enriched,Zunongwangia,2.025273792,Bacteroidetes
Sabulilitoribacter,13.025,9.966,0.278364334,0.460818914,NotSig,Sabulilitoribacter,0.55538641,Bacteroidetes
Pricia,13.61,8.966,0.058281671,0.143892204,NotSig,Pricia,1.234468005,Bacteroidetes
Tamlana,-15.472,10.551,0.005302292,0.021607283,Depleted,Tamlana,2.275536359,Bacteroidetes
Gilvibacter,13.025,9.966,0.278364334,0.460818914,NotSig,Gilvibacter,0.55538641,Bacteroidetes
Gillisia,2.838,11.288,0.159496534,0.314366787,NotSig,Gillisia,0.79724875,Bacteroidetes
Gaetbulimicrobium,17.417,13.136,0.014040165,0.04574273,Enriched,Gaetbulimicrobium,1.852627788,Bacteroidetes
Lutimonas,-4.554,13.358,0.014835582,0.047896778,Depleted,Lutimonas,1.828695412,Bacteroidetes
Pseudofulvibacter,12.026,8.967,0.278364334,0.460818914,NotSig,Pseudofulvibacter,0.55538641,Bacteroidetes
Meridianimaribacter,13.61,8.966,0.058281671,0.143892204,NotSig,Meridianimaribacter,1.234468005,Bacteroidetes
Spongiivirga,-18.231,12.772,9.89E-05,0.000780172,Depleted,Spongiivirga,4.004803708,Bacteroidetes
Cellulophaga,6.923,14.579,0.000523114,0.003114182,Enriched,Cellulophaga,3.281403657,Bacteroidetes
Cloacibacterium,2.636,15.506,0.003746788,0.015960199,Enriched,Cloacibacterium,2.426340879,Bacteroidetes
Algibacter,0.738,9.965,0.228708321,0.42057574,NotSig,Algibacter,0.640718034,Bacteroidetes
Flavivirga,-13.771,9.965,0.112218299,0.246366169,NotSig,Flavivirga,0.949936319,Bacteroidetes
Eudoraea,3.252,10.55,0.031243564,0.08607059,Enriched,Eudoraea,1.505239431,Bacteroidetes
Pseudozobellia,15.025,10.551,0.014040165,0.04574273,Enriched,Pseudozobellia,1.852627788,Bacteroidetes
Formosa,-12.771,8.965,0.196159222,0.368320868,NotSig,Formosa,0.70739127,Bacteroidetes
Chishuiella,-15.231,10.55,0.014335711,0.046389227,Depleted,Chishuiella,1.843580763,Bacteroidetes
Corallibacter,14.347,9.966,0.028380191,0.07941539,Enriched,Corallibacter,1.546984686,Bacteroidetes
Namhaeicola,-1.256,11.288,0.133251521,0.269334164,NotSig,Namhaeicola,0.875327825,Bacteroidetes
Nonlabens,0.919,12.666,0.939797732,1,NotSig,Nonlabens,0.026965607,Bacteroidetes
Fulvibacter,-12.771,8.965,0.196159222,0.368320868,NotSig,Fulvibacter,0.70739127,Bacteroidetes
Arenibacter,6.319,14.095,6.41E-05,0.000534585,Enriched,Arenibacter,4.19314197,Bacteroidetes
Myroides,21.809,18.413,1.72E-06,2.30E-05,Enriched,Myroides,5.764471553,Bacteroidetes
Robiginitalea,3.06,10.551,0.061179846,0.147472365,NotSig,Robiginitalea,1.213391621,Bacteroidetes
Sinomicrobium,14.832,10.551,0.028381934,0.07941539,Enriched,Sinomicrobium,1.546958014,Bacteroidetes
Lutibacter,0.253,10.55,0.75439966,1,NotSig,Lutibacter,0.122398516,Bacteroidetes
Chryseobacterium,0.767,16.323,0.108041464,0.240898701,NotSig,Chryseobacterium,0.96640954,Bacteroidetes
Marixanthomonas,17.112,12.288,0.000891055,0.004834831,Enriched,Marixanthomonas,3.050095488,Bacteroidetes
Joostella,-18.499,13.135,9.90E-05,0.000780172,Depleted,Joostella,4.004364805,Bacteroidetes
Flagellimonas,12.024,8.965,0.278364334,0.460818914,NotSig,Flagellimonas,0.55538641,Bacteroidetes
Aequorivita,0.931,10.965,0.334250523,0.535035348,NotSig,Aequorivita,0.475927905,Bacteroidetes
Spongiimonas,-0.747,10.551,0.868888028,1,NotSig,Spongiimonas,0.061036187,Bacteroidetes
Kriegella,16.548,11.967,0.00089102,0.004834831,Enriched,Kriegella,3.050112548,Bacteroidetes
Elizabethkingia,1.079,13.358,0.310199446,0.504737297,NotSig,Elizabethkingia,0.508358982,Bacteroidetes
Hanstruepera,12.025,8.966,0.278364334,0.460818914,NotSig,Hanstruepera,0.55538641,Bacteroidetes
Mesonia,5.538,13.053,0.000264226,0.001786969,Enriched,Mesonia,3.57802445,Bacteroidetes
Muriicola,14.347,9.966,0.028380191,0.07941539,Enriched,Muriicola,1.546984686,Bacteroidetes
Salegentibacter,19.133,15.721,0.000113442,0.000856582,Enriched,Salegentibacter,3.945226125,Bacteroidetes
Salinimicrobium,5.926,15.458,3.71E-06,4.37E-05,Enriched,Salinimicrobium,5.43062609,Bacteroidetes
Leeuwenhoekiella,17.806,12.288,2.84E-05,0.000266981,Enriched,Leeuwenhoekiella,4.54668166,Bacteroidetes
Ornithobacterium,0.625,13.288,0.103777933,0.232482121,NotSig,Ornithobacterium,0.983894984,Bacteroidetes
Aureivirga,-1.069,10.966,0.747560396,1,NotSig,Aureivirga,0.126353715,Bacteroidetes
Empedobacter,0.821,13.288,0.382900846,0.582515466,NotSig,Empedobacter,0.416913674,Bacteroidetes
Lacinutrix,15.832,9.966,0.000890667,0.004834831,Enriched,Lacinutrix,3.050284638,Bacteroidetes
Sediminibacter,2.968,15.322,0.909292173,1,NotSig,Sediminibacter,0.041296547,Bacteroidetes
Cruoricaptor,4.183,12.666,0.007180977,0.027770338,Enriched,Cruoricaptor,2.143816464,Bacteroidetes
Hoppeia,15.832,10.551,0.001768936,0.008471719,Enriched,Hoppeia,2.75228788,Bacteroidetes
Snuella,2.712,10.966,0.089381069,0.204074856,NotSig,Snuella,1.048754455,Bacteroidetes
Sediminibacterium,-3.26,17.053,6.46E-27,8.38E-25,Depleted,Sediminibacterium,26.18976748,Bacteroidetes
Flavisolibacter,19.253,15.811,7.05E-06,7.39E-05,Enriched,Flavisolibacter,5.151810883,Bacteroidetes
Parasegetibacter,-2.349,16.27,5.62E-17,3.21E-15,Depleted,Parasegetibacter,16.25026368,Bacteroidetes
Terrimonas,-0.792,15.137,0.001017046,0.005395259,Depleted,Terrimonas,2.992659404,Bacteroidetes
Niabella,-0.788,14.012,0.011570242,0.040520414,Depleted,Niabella,1.936657557,Bacteroidetes
Gracilimonas,-4.8,13.053,3.49E-07,5.25E-06,Depleted,Gracilimonas,6.457174573,Bacteroidetes
Hydrotalea,-1.434,15.921,1.86E-09,4.07E-08,Depleted,Hydrotalea,8.730487056,Bacteroidetes
Chitinophaga,0.626,13.053,0.118031227,0.253841383,NotSig,Chitinophaga,0.928003078,Bacteroidetes
Niastella,-1.28,14.096,0.179205801,0.347454726,NotSig,Niastella,0.746647936,Bacteroidetes
Balneola,-3.519,11.287,0.002157001,0.009802677,Depleted,Balneola,2.666149654,Bacteroidetes
Filimonas,-1.797,13.966,7.63E-06,7.83E-05,Depleted,Filimonas,5.117475462,Bacteroidetes
Ferruginibacter,0.924,13.92,0.679440983,0.933863465,NotSig,Ferruginibacter,0.167848261,Bacteroidetes
Taibaiella,-2.563,13.213,1.57E-10,4.22E-09,Depleted,Taibaiella,9.804100348,Bacteroidetes
Segetibacter,5.443,13.823,0.003518411,0.015168496,Enriched,Segetibacter,2.45365343,Bacteroidetes
Flavitalea,-0.275,13.359,0.949657458,1,NotSig,Flavitalea,0.022433017,Bacteroidetes
Arachidicoccus,-17.13,12.551,0.005303658,0.021607283,Depleted,Arachidicoccus,2.275424489,Bacteroidetes
Lacibacter,-2.139,13.92,0.006681405,0.026706906,Depleted,Lacibacter,2.175132202,Bacteroidetes
